name	Mutations_of_interest_vs_Group_control_diff	Mutations_of_interest_vs_Group_control_p.val
A0A096LPI6	0.0291701470427554	0.885380802058725
A1BG	-0.518181855072473	0.365866790363236
A2M	-0.301197971014499	0.655395445900777
AAAS	-0.161247113503229	0.388911820885697
AAK1	-0.144130907293572	0.521874744464863
AAMDC	0.00611335650854983	0.977260881257497
AARS	0.328590789595381	0.061960202226268
AARS2	0.0557025823367532	0.776593178558222
AASDHPPT	0.468192560928662	0.0348053778926489
ABCB10	0.292625435316754	0.28621689851155
ABCB7	0.0775291949086636	0.668721575160164
ABCC1	0.163168127102155	0.482878340570346
ABCC4	-0.135067631685235	0.650353907689872
ABCD1	-0.990500986082049	0.000564320974981648
ABCD3	-0.148198993700564	0.476604674978626
ABCE1	0.289459893774627	0.058572749236249
ABCF1	0.0672561715339768	0.624092801466693
ABCF2	-0.349122948326844	0.0985863023246426
ABCF3	-0.140420861691513	0.446743629491713
ABHD10	0.0242664879370693	0.920785906553903
ABHD11	-0.494227807360573	0.0492990004845308
ABHD12	0.188925915577885	0.374285836813901
ABHD14B	0.617943841091279	0.00995245814799117
ABHD16A	-0.157301766172576	0.439049116329628
ABHD17B	0.443192373631147	0.205250809854498
ABI1	0.101824605725916	0.55592978310591
ABR	0.325157584565829	0.256224823496614
ABT1	-0.101773176522041	0.736484321292258
ACAA1	-0.126538148778293	0.617775256654079
ACAA2	-0.0916637391304391	0.666451483221423
ACACA	-0.279301226311699	0.205656589769632
ACAD8	0.431645109033289	0.0237674151903292
ACAD9	-0.534284146369263	0.00296478764239354
ACADM	-0.184083652173918	0.273873300888109
ACADS	-0.363804797137632	0.0777323434492991
ACADSB	-0.419825628795538	0.0503543662358008
ACADVL	0.00746159366471488	0.972270190043988
ACAP1	0.392253561577446	0.0700578356167526
ACAP2	0.0653748171335309	0.786747274928189
ACAT1	-0.208563979765092	0.397766733432813
ACAT2	0.337443869844613	0.0462698238263538
ACBD3	-0.0740812743368373	0.576716203751374
ACIN1	-0.0695307606142883	0.60086503873836
ACLY	0.145094526288215	0.300422618144484
ACO1	0.323825197538586	0.0832864063957196
ACO2	-0.0085520289855161	0.951767289805559
ACOT1	-0.0833863544558007	0.696965032487414
ACOT13	0.183159493945592	0.339210401105007
ACOT7	0.363375878007195	0.277619748012319
ACOT8	-0.0548900277337374	0.807189350898601
ACOT9	0.0393586575032572	0.846337620354927
ACOX1	-0.17016648580255	0.460633352112292
ACP1	0.243255812923312	0.132385625181944
ACP2	0.0358661823575375	0.907591035224218
ACSF2	0.0161398910530881	0.954658591019438
ACSF3	0.285448414068362	0.12594998460243
ACSL1	0.0299931553199428	0.922924373576096
ACSL3	-0.267714661832411	0.139332248807386
ACSL4	-0.378116064418386	0.0166466134409158
ACSL5	-0.194582517088133	0.339743705528978
ACSS1	0.503803140705028	0.0159704996137609
ACTB	-0.101489246376811	0.577305776643506
ACTBL2	0.552531786640159	0.589484380832807
ACTC1	-0.114130434782613	0.532309981889052
ACTL6A	0.173519811822619	0.285243669776057
ACTN1	0.179375130434785	0.501552079862896
ACTN4	-0.0746733043478258	0.631466497946131
ACTR10	-0.0207606926614048	0.949741405441244
ACTR1A	0.31225862229471	0.0852396293101319
ACTR1B	0.244590628164907	0.0807485838893448
ACTR2	0.00761910144926858	0.979325377247189
ACTR3	0.0899655942028872	0.63888003221696
ACY1	0.269013413809894	0.412866501323038
ACYP1	0.128097537033776	0.503945291476627
ACYP2	0.0298142348165609	0.884255168584498
ADA	0.7308919404942	0.0543202141646296
ADAM10	-0.115004605438042	0.578881310298439
ADAR	-0.137896503080363	0.281905796077277
ADCK3	0.344025327641631	0.104586316024712
ADD1	0.341338813267264	0.108039448237599
ADD3	0.226747379269082	0.238277683151766
ADH5	0.414109349261679	0.0226563091690831
ADK	0.0981923170318524	0.625933814110525
ADNP	0.207894068290297	0.284155005165938
ADPGK	0.232924956521735	0.38659498197206
ADPRHL2	-0.0220624078900826	0.87061853455673
ADRBK1	-0.198426157849795	0.281412710655372
ADRM1	0.102060752982442	0.661993811442743
ADSL	0.0356581411524424	0.8366320798298
ADSS	0.039405982772216	0.807969809699435
AFG3L2	0.0591964084503651	0.731668030578518
AFM	-0.133461463768118	0.833594557440233
AFP	-0.277131356291829	0.63652318077232
AFTPH	0.194734944981324	0.417011900258432
AGA	-0.507887920634861	0.0685196569482219
AGAP2	-0.186999608307381	0.50646527059701
AGFG1	0.238184078111143	0.24567494054293
AGK	-0.0063622064974318	0.971360238515693
AGL	-0.0216851303991188	0.906451765648986
AGO1	0.231588966628472	0.200410371627036
AGO2	0.308311919436967	0.187858017326923
AGPAT3	-0.00729436761034741	0.974201427523606
AGPAT5	-0.241239083699044	0.337599353596949
AGPAT9	-0.380031012964633	0.218527217827791
AGPS	-0.154268967433435	0.448460460012662
AGTRAP	-0.722342951969534	0.0118015668393619
AHCTF1	-0.144111021648554	0.369895967986104
AHCY	-0.0997923188405814	0.536355083590899
AHCYL1	-0.114783218623366	0.786075018634217
AHNAK	-0.0468471876968835	0.902080291528506
AHSA1	0.0858891396198622	0.605121434008812
AIDA	-0.200628933542978	0.421719727947843
AIF1	-0.0884381428774539	0.800833912897718
AIFM1	-0.0675356038977917	0.682247349142775
AIM1	-0.599242678272422	0.0431851515852577
AIMP1	0.300343680014475	0.086494644134853
AIMP2	-0.113646925324925	0.542949749270187
AIP	0.0140066537385906	0.933372445957192
AK1	0.540118397555966	0.215671797220542
AK2	0.0705696811594159	0.775432949461189
AK3	0.032071735676297	0.872832415174312
AKAP13	-0.197529476359172	0.333478255814071
AKAP17A	-0.111139034696325	0.597570547384043
AKAP8	-0.358477282255794	0.0392016965125106
AKAP8L	0.239029712520272	0.335837335108109
AKAP9	0.560609652650367	0.0111765652528994
AKR1A1	-0.214265540322618	0.295223770866032
AKR1B1	0.174389599164932	0.490586308595075
AKR1C3	0.539427628341503	0.202537504129139
AKR7A2	-0.128445396999595	0.517286468465222
AKT1	0.154031645823633	0.396251272468522
AKT2	-0.0869104157140956	0.623858758975285
ALAD	0.331675908349901	0.138108876874261
ALB	-0.2356751594203	0.675717547644755
ALCAM	-0.224253172094958	0.39785826595083
ALDH16A1	-0.036623396890775	0.863123365161905
ALDH18A1	-0.0444318840579712	0.848808686231178
ALDH1B1	-0.072581940257713	0.794574933348755
ALDH2	-0.225794205085545	0.593411367043525
ALDH3A2	-0.179915613355373	0.503452100232578
ALDH3B1	-0.633410357839644	0.0277396735571157
ALDH4A1	-0.417927683744914	0.0877589067295095
ALDH5A1	0.637422171924602	0.0570915254572542
ALDH6A1	-0.163353557213799	0.455802428508178
ALDH7A1	0.0857400443122831	0.826526315030453
ALDH9A1	0.0715916811594184	0.625077765809325
ALDOA	0.291867710144924	0.139288789214604
ALDOC	0.583324983180667	0.00840268674275687
ALG1	-0.0486893027973103	0.840393460405049
ALG11	-0.248999114408326	0.215300049871076
ALG2	-0.357697581564141	0.166931388651989
ALG3	-0.0106726587789545	0.950861624449217
ALG8	-0.159712125127557	0.433645547518234
ALG9	-0.306782637495429	0.102459141154653
ALOX5	-0.919730936281873	0.0424450820860661
ALOX5AP	-0.858099739130431	0.0329015782335329
ALYREF	-0.00847306333459841	0.958096340239289
AMDHD2	0.0267187699394285	0.928946429882366
AMPD2	0.124482961007207	0.566084407508216
AMPD3	-0.166890007846449	0.541774874590842
ANAPC1	-0.241539222339838	0.0655236861466808
ANAPC2	0.1514274157798	0.513297378790667
ANAPC5	-0.140436733970132	0.495120579012784
ANAPC7	-0.259722723621099	0.221394044224094
ANK1	0.502421323878362	0.410985754816199
ANKFY1	-0.0525027894200836	0.797238104168619
ANKLE2	-0.161127512397716	0.528166085305191
ANKRD13A	0.0985312081790237	0.583548054517913
ANKRD17	0.117193995295318	0.544522140845488
ANKRD27	-0.112294945594748	0.611316411242828
ANKRD44	-0.0815487718069292	0.698970430369589
ANO10	-0.466654725216983	0.103055017229027
ANO6	0.0794604537543044	0.768290681801755
ANP32A	0.0640517681159345	0.741622318939947
ANP32B	-0.174245921897995	0.445338607912859
ANP32E	-0.0759407536231933	0.68798405345335
ANPEP	0.0405292300880085	0.924543195759457
ANTXR2	-0.355482844463957	0.127438401753543
ANXA1	0.178480869565217	0.579401456422916
ANXA11	-0.0435097396526736	0.847032542748465
ANXA2	-0.805428608695657	0.0373202283932627
ANXA3	-0.285256521608876	0.658290082603604
ANXA4	-0.262093710144935	0.150492995680794
ANXA5	-0.399943971014501	0.38502467401785
ANXA6	-0.282937449275369	0.345829393034306
ANXA7	0.355992521739136	0.0526427650634734
AP1B1	0.0851824451330678	0.601184353659183
AP1G1	0.0132515650408145	0.933828223442029
AP1G2	-0.0833395517117665	0.561470412482737
AP1M1	-0.326876001444337	0.027818221096781
AP1S1	0.652354554417327	0.0101653358911128
AP1S2	-0.180938161256272	0.386815108162726
AP2A1	-0.424992040713782	0.133595292604974
AP2A2	0.165422280605952	0.387696509628828
AP2B1	-0.168086322847866	0.312979097746845
AP2M1	0.180283980743923	0.197641872284475
AP2S1	0.068654946869799	0.744388645521765
AP3B1	-0.103763775129167	0.574532685819113
AP3D1	-0.222321555300944	0.253272563000232
AP3M1	-0.146829086603157	0.271349594008467
AP3S1	-0.0492538657133856	0.779143092869758
AP5B1	-0.643479589785366	0.00302030398979623
AP5Z1	-0.42927955567089	0.048177711676216
APAF1	-0.671406634966418	0.00235857678406945
APBB1IP	0.139137970792653	0.497257032858717
APC	0.353000622101462	0.362237573343279
APCS	-0.74121777633084	0.0445855598721599
APEH	0.217040500870283	0.225454802609988
APEX1	-0.0840517147701973	0.702469470822387
API5	0.0121791060770029	0.938109630161134
APIP	0.347229949010913	0.257947560541386
APMAP	-0.0669304057970947	0.842653457642687
APOA1	-0.791454128662329	0.0725887473998318
APOA1BP	0.253187731269879	0.0540024354278096
APOA2	-0.201032557866689	0.651886538964478
APOB	-0.395469389352879	0.41821435868013
APOBEC3B	0.272607532451111	0.331135280970536
APOBEC3F	0.681864377294879	0.0717154869142746
APOBR	-0.245370104819962	0.448631772482189
APOC3	-0.431005673940348	0.267706451729126
APOD	-0.115364129214125	0.745484857433404
APOE	-0.654374666666669	0.132378894900155
APOL2	0.385122411130462	0.0766182383370886
APOL3	0.271513399864967	0.376679139903767
APOO	0.202585455327661	0.364929833863602
APOOL	0.170857059251688	0.386207907489482
APPL1	0.0505980572192044	0.803879268285767
APRT	0.178622626162138	0.384956655034381
APTX	-0.283970468739991	0.17303015940414
AQR	-0.16529942314296	0.335418995837817
ARAF	-0.0438477639499482	0.793297726281428
ARAP1	-0.0263171802625628	0.916756365011611
ARCN1	0.0220295748775712	0.872314246127896
ARF3	-0.0810613623188381	0.682808566852592
ARF4	-0.240918231884063	0.12393405188563
ARF5	0.153818669675452	0.448703548640567
ARF6	-0.204135217474718	0.521083192958704
ARFGAP1	0.109335940397502	0.685544800855447
ARFGAP2	0.204297989610058	0.304531020639772
ARFGAP3	0.092651714183777	0.636635112144528
ARFGEF1	-0.261072348815363	0.135867485765721
ARFGEF2	-0.0714963741520744	0.672902059394877
ARFIP1	-0.129594474043824	0.601918149747352
